,0,,,,,,,,x,y
,,,,,,,,,21.553,0.473767218
,,,,,,,,,22.059,0.473767218
,,,,,,,,,22.099,0.473767218
,,,,,,,,,22.782,0.473767218
,,,,,,,,,22.804,0.473767218
,,,,,,,,,23.022,0.95174827
,,,,,,,,,23.286,0.473767218
,,,,,,,,,23.305,0.473767218
,,,,,,,,,23.599,0.473767218
,,,,,,,,,23.761,0.44599044
,,,,,,,,,23.939,0.473767218
,,,,,,,,,24.201,0.473767218
,,,,,,,,,24.203,0.688372771
,,,,,,,,,24.68,0.473767218
,,,,,,,,,24.694,0.473767218
,,,,,,,,,24.819,0.473767218
,,,,,,,,,25.233,0.473767218
,,,,,,,,,25.297,0.473767218
,,,,,,,,,25.31,0.458597949
,,,,,,,,,25.564,0.473767218
,,,,,,,,,25.699,0.473767218
,,,,,,,,,26.037,0.473767218
,,,,,,,,,26.039,0.473767218
,,,,,,,,,26.295,0.473767218
,,,,,,,,,26.791,0.5
,,,,,,,,,26.822,0.473767218
,,,,,,,,,26.997,0.473767218
,,,,,,,,,27.172,0.473767218
,,,,,,,,,27.283,0.473767218
,,,,,,,,,27.299,0.27078071
,,,,,,,,,27.379,0.473767218
,,,,,,,,,27.498,0.473767218
,,,,,,,,,27.594,0.473767218
,,,,,,,,,27.774,0.473767218
,,,,,,,,,28.259,0.473767218
,,,,,,,,,28.299,0.875
,,,,,,,,,28.382,0.671717172
,,,,,,,,,28.53,0.473767218
,,,,,,,,,28.539,0.473767218
,,,,,,,,,28.768,0.473767218
,,,,,,,,,29.034,0.473767218
,,,,,,,,,29.073,0.473767218
,,,,,,,,,29.158,0.535714286
,,,,,,,,,29.736,0.473767218
,,,,,,,,,30.068,0.473767218
,,,,,,,,,30.23,0.473767218
,,,,,,,,,30.838,0.473767218
,,,,,,,,,30.859,0.473767218
,,,,,,,,,30.913,0.023209547
,,,,,,,,,31.236,0.473767218
,,,,,,,,,31.538,0.473767218
,,,,,,,,,31.581,0.959632877
,,,,,,,,,31.742,0.999949746
,,,,,,,,,31.978,0.473767218
,,,,,,,,,32.002,0.473767218
,,,,,,,,,32.57,0.473767218
,,,,,,,,,32.899,0.347790517
,,,,,,,,,32.939,0.473767218
,,,,,,,,,33.008,0.473767218
,,,,,,,,,33.422,0.949231734
,,,,,,,,,33.787,0.473767218
,,,,,,,,,33.922,0.473767218
,,,,,,,,,34.006,0.473767218
,,,,,,,,,34.269,0.820453311
,,,,,,,,,34.332,0.473767218
,,,,,,,,,34.961,0.473767218
,,,,,,,,,35,0.5
,,,,,,,,,35.037,0.473767218
,,,,,,,,,36.218,0.473767218
,,,,,,,,,36.283,0.473767218
,,,,,,,,,36.399,0.975156424
,,,,,,,,,36.719,0.473767218
,,,,,,,,,37.064,0.473767218
,,,,,,,,,37.579,0.473767218
,,,,,,,,,37.986,0.473767218
,,,,,,,,,38.405,0.473767218
,,,,,,,,,38.442,0.473767218
,,,,,,,,,40.381,0.252981505
,,,,,,,,,41.383,0.473767218
,,,,,,,,,41.705,0.473767218
,,,,,,,,,43.736,0.321936842
,,,,,,,,,44.002,0.843695179
,,,,,,,,,44.119,0.526232782
,,,,,,,,,44.737,0.473767218
,,,,,,,,,45.002,0.473767218
,,,,,,,,,45.125,0.473767218
,,,,,,,,,46,0.5
,,,,,,,,,47.185,0.473767218
,,,,,,,,,48.255,0.473767218
,,,,,,,,,48.319,0.473767218
,,,,,,,,,48.351,0.473767218
,,,,,,,,,48.74,0.473767218
,,,,,,,,,49.182,0.473767218
,,,,,,,,,49.319,0.473767218
,,,,,,,,,49.461,0.544345633
,,,,,,,,,50.037,0.833841149
,,,,,,,,,53.017,0.473767218
,,,,,,,,,53.158,0.998737515
,,,,,,,,,53.273,0.990767801
,,,,,,,,,53.721,0.984553688
,,,,,,,,,53.875,0.960766085
,,,,,,,,,54.705,0.778348819
,,,,,,,,,55.591,0.045976004
,,,,,,,,,56.929,0.617725685
,,,,,,,,,58.392,1
,,,,,,,,,58.736,0.473767218
,,,,,,,,,58.896,0.473767218
,,,,,,,,,59.227,0.526232782
,,,,,,,,,59.563,0.473767218
,,,,,,,,,59.738,0.473767218
,,,,,,,,,60.98,0.615384615
,,,,,,,,,61.606,0.473767218
,,,,,,,,,62.566,0.473767218
,,,,,,,,,62.87,0.473767218
,,,,,,,,,63.114,0.232126852
,,,,,,,,,63.638,0.619820061
,,,,,,,,,64.867,0.473767218
,,,,,,,,,68.236,0.473767218
,,,,,,,,,71.317,0.473767218
,,,,,,,,,71.867,0.872876398
,,,,,,,,,72.693,0.473767218
,,,,,,,,,74.633,0.357814258
,,,,,,,,,76.056,0.471505267
,,,,,,,,,78.563,0.999066388
,,,,,,,,,78.637,0.56915076
,,,,,,,,,79.728,0.473767218
,,,,,,,,,80.37,0.99876049
,,,,,,,,,81.306,0.79190772
,,,,,,,,,82.724,0.473767218
,,,,,,,,,82.78,0.957525846
,,,,,,,,,83.086,0.812170191
,,,,,,,,,83.299,0.974343339
,,,,,,,,,84.42,0.473767218
,,,,,,,,,87.105,0.985595506
,,,,,,,,,89.109,0.473767218
,,,,,,,,,93.314,0.772727273
,,,,,,,,,94.677,0.14008973
,,,,,,,,,99.077,0.473767218
,,,,,,,,,100.629,0.473767218
,,,,,,,,,101.591,0.983023269
,,,,,,,,,103.485,0.912558489
,,,,,,,,,104.719,0.806826961
,,,,,,,,,105.653,0.843695179
,,,,,,,,,107.29,0.99876049
,,,,,,,,,107.63,0.292146875
,,,,,,,,,111.473,0.281538278
,,,,,,,,,116.499,0.774348615
,,,,,,,,,118.487,0.473767218
,,,,,,,,,118.521,0.814583149
,,,,,,,,,119.629,0.168316832
,,,,,,,,,119.676,0.168316832
,,,,,,,,,119.897,0.168316832
,,,,,,,,,120.745,0.168316832
,,,,,,,,,121.377,0.545157619
,,,,,,,,,122.377,0.175955996
,,,,,,,,,122.459,0.168316832
,,,,,,,,,123.382,0.168316832
,,,,,,,,,123.888,0.353500898
,,,,,,,,,124.858,0.276661496
,,,,,,,,,126.938,0.168316832
,,,,,,,,,127.047,0.527073145
,,,,,,,,,127.999,0.047287845
,,,,,,,,,128.037,0.168316832
,,,,,,,,,128.577,0.168316832
,,,,,,,,,128.701,0.178659939
,,,,,,,,,129.015,0.05714852
