,danmu,time
239, 二舅，其实就是每一个勤劳朴实顽强平凡的父母的缩影。, 0.0
240, 敬二舅, 0.194
241, 敦一敦伟大的友谊, 0.291
242, 强烈要求进入必看视频, 0.0
243, 敬二舅, 3.225
244, 歌颂苦难，非啥即啥, 0.0
245, 敬二舅, 0.0
246, 敬二舅, 0.0
247, 敬二舅, 0.185
248, 敬二舅, 0.0
249, 敬二舅, 0.0
250, 大家注意看，上面都是几十块的，有的只有几块钱（！, 237.004
251, 忽然觉得现在给爱情贴的标签好简单 人的情感那儿说的清楚, 328.699
252, 八万人与我同在, 0.0
253, 美化苦难就是吃人, 0.0
254, 不要美化苦难, 0.0
255, 啊                                                                                                这, 0.289
256, 敬二舅, 0.0
257, 恭喜你发现镇站之宝, 0.0
258, 致敬二舅, 0.0
259, 你精神内耗，是因为真有人骑在你头上作威作福, 0.0
260, 411, 0.0
261, 看完这个视频我想起一句话那就是这个世界只有一种英雄主义，就是认清真相之后依然热爱生活, 0.04
262, 敬二舅, 0.0
263, 建议成为入站必刷, 0.0
264, 敬二舅, 0.114
265, 入站必刷, 0.185
266, 8.8万＋的人都出来！, 0.0
267, 我二舅整挺好, 0.106
268, 老首长也是从人民中来啊, 150.819
269, 见证二舅打破全站投币量记录, 0.106
270, 这背影，潇洒的不得了！！, 324.261
271, 敬二舅, 64.867
272, 船载石致敬, 0.165
273,  敬二舅, 35.037
274, 敬二舅, 31.236
275, 欢迎观看2022年b站最佳视频, 0.0
276, 敬二舅, 0.0
277, 敬二舅, 59.563
278, 开头这片段太有意思了, 0.0
279, 三刷了, 0.286
280, 敬二舅, 0.206
281, B站之王，没有之一, 0.071
282, 敬二舅, 20.419
283, 敬二舅, 0.0
284, 这个视频很可能，变成点赞量和硬币量最多的视频, 0.105
285, 先投币为敬, 0.0
286, 二舅, 0.028
287, 敬二舅, 41.705
288, 敬二舅, 0.02
289, 我的天，七百万, 0.149
290, ok, 208.328
291, 致敬二舅, 0.0
292, 敬二舅, 27.498
293, 敬二舅, 0.0
294, 仙人跳：指一种诈财的圈套, 314.701
295, 敬二舅, 0.0
296, 敬二舅, 0.0
297, 拉帮套：指原配丈夫身患恶疾无法支持家庭收入而不得不让妻子找人来支撑，在五六十年代极为猖獗, 314.853
298, 二舅的真实想法呢，哪怕说句话也好啊。, 0.0
299, 这视频get到了我的点，我父亲他们几兄弟，我母亲她的几个兄弟不就是这样的人么, 0.0
300, 老师老师, 0.0
301, 敬二舅, 33.922
302, 看了好几遍啦啦啦啦啦啦, 0.0
303, 尊唐, 0.0
304, 低保呢？农合呢？有没有？, 0.0
305, 敬二舅, 0.0
306, 敬二舅, 0.0
307, 弹幕, 0.276
308, 四天0.3亿播放量，就离谱, 0.0
309, 敬二舅, 0.0
310, 要愤怒，不要沉默, 0.0
311, 敬二舅, 0.225
312, 我大舅在家人群里发了这个视频, 0.0
313, 你好poping老太太, 354.148
314, 宝贝我来看了, 0.021
315, 敬二舅, 0.0
316, 对不起，第一次看到这个视频我划走了，现在我回来了, 3.991
317, 敬二舅, 37.579
318, 希望这视频的播放不会引来一些别有用心的人，打扰二舅宁静的生活。, 0.0
319, 致敬二舅, 0.0
320, 3000万！, 0.0
321, 一天不看浑身难受, 0.0
322, 敬二舅, 0.0
323, 敬二舅, 0.0
324, 3, 0.0
325, 敬二舅, 0.0
326, 超豪华OK？二舅内心很可爱, 204.259
327, 致二舅, 0.0
328, 币比赞多系列, 0.108
329, 哭了哭了, 0.0
330, 欢迎来到币比赞多系列, 0.0
331, 敬二舅, 0.145
332, 姥姥年纪大了身体很多部位不自觉的抖动，像是在跳poping，很可爱的形容, 0.119
333, 我以为他要说二舅后来创办了上海牌, 195.277
334, 敬二舅, 0.0
335, 蚌, 0.0
336, 武训, 0.0
337, 致敬二舅, 0.0
338, 敬二舅, 0.0
339, 蚌, 0.105
340, 敬二舅, 41.383
341, 还真是超豪华ok牌, 202.652
342, 币比赞多系列！, 0.0
343, 敬二舅, 11.139
344, 致敬二舅, 0.0
345, 首长好=首长搓背很好, 162.205
346, 敬二舅, 0.0
347, 敬二舅, 0.0
348, 二舅的针 是什么针？, 0.265
349, 敬二舅, 0.095
350, 越发的感觉在看余华的书, 330.558
351, 苦难无法治愈苦难，二舅苦难的根源是什么, 0.0
352, 我妈好像是另一个二舅, 0.0
353, 敬二舅, 27.379
354, 敬二舅, 32.57
355, 为什么打不开了, 0.0
356, 敬二舅, 0.285
357, +, 1.008
358, 新一代的兵忘了首长本也从人民中来的, 152.198
359, up很棒 也敬二舅, 0.0
360, MD, 330.62
361, 敬二舅们！, 0.0
362, 那请快住进..., 129.019
363, 他大舅他二舅都是他舅，高桌子低板凳都是木头, 0.0
364, 敬二舅, 33.008
365, 重看一遍 敬二舅 已三连, 76.056
366, 二刷, 6.642
367, 卧槽, 313.098
368, 我家当年爸妈结婚家具好像，，, 195.344
369, 莫名同步了, 56.929
370, 敬二舅, 336.959
371, 泪目, 11.017
372, 敬二舅, 27.283
373, ？？？？？？, 282.84
374, 短暂的爱过吧 并不求什么结果 而且谁又能说婚姻和生育就是最终结局呢, 312.213
375, 敬二舅, 337.732
376, 出自传小说吧感觉能火, 322.198
377, 他公平，泪目, 123.888
378, 每天一刷, 8.392
379, 再来亿遍, 10.351
380, 敬二舅, 11.641
381, 敬二舅, 38.442
382, 敬二舅, 45.125
383, 敬二舅, 11.305
384, 我服了, 154.238
385, 好精神 有点帅的, 140.415
386, 敬二舅, 82.724
387, 北京很公平, 111.473
388, 没绷住, 7.479
389, 敬二舅, 237.032
390, 敬二舅, 197.193
391, 敬二舅, 36.719
392, 敬二舅, 31.538
393, 文城, 319.182
394, 残废的二舅是最快乐的人，讽刺不讽刺？, 6.415
395, 敬二舅, 10.049
396, 夜里两点九千加在看！, 11.625
397, 敬二舅, 26.997
398, 破防, 122.377
399, 敬二舅, 19.85
400, 敬二舅, 10.795
401, 敬二舅, 5.431
402, 敬二舅, 256.516
403, 或许爱情曾来过, 325.533
404, 敬二舅, 99.077
405, 背影, 331.259
406, 敬二舅，我不如也。, 43.736
407, 敬二舅, 18.585
408, 敬二舅, 34.961
409, 二舅是一位伟大的“中医”，治好了千万人恐惧、担忧、自卑、孤独的心理疾病。, 31.742
410, 视频制作者生活在一个亲情很浓的家庭，对二舅积聚有30年的深厚感情和钦佩。, 2.725
411, 视频道出普通人人的无奈、痛苦、煎熬、不屈、奋争、责任、友情、平和与安然。, 7.197
412, 敬二舅, 22.804
413, 超豪华 OK？, 202.78
414, 呜呜 他公平, 126.938
415, 敬二舅, 23.599
416, 致二舅, 192.019
417, 哈哈哈哈哈哈哈哈哈哈, 163.995
418, 上海nb, 185.823
419, 敬二舅, 24.819
420, 敬二舅, 32.002
421, 看无数遍也看不厌, 1.02
422, 敬二舅, 0.979
423, ，, 44.119
424, 再看一遍, 0.305
425, 回村一趟，闰土治好了鲁迅的内耗……, 7.306
426, 文字质朴，直击人心，好文采, 78.563
427, 下定决心，不怕牺牲，排除万难，去争取胜利?。我们的胜利就是消灭造成二舅苦难的原因，源头。, 1.825
428, 大隐隐于市, 1.166
429, 敬二舅, 13.62
430, 早晚一遍, 25.31
431, 全程二舅没说一句话, 2.145
432, 想听二舅说点什么, 2.426
433, 公平！, 128.577
434, 能发吗？, 188.979
435, 首长，我谢谢了, 160.42
436, 敬二舅, 15.699
437, 四刷, 11.019
438, 敬二舅, 26.039
439, 天才呀, 186.188
440, 敬二舅, 8.119
441, 聪明勤劳的二舅, 343.988
442, 敬二舅, 14.452
443, 当年的赤脚医生厉害了！, 124.858
444, 回湖南32天，决定了我的基本路线, 1.176
445, 回湖南32天，决定了我的基本路线, 1.176
446, 我相信只是友善, 321.993
447, 我前天看还是一千万播放量，今天直接三千三百万播放量，太强了吧, 0.945
448, QQ, 29.158
449, 敬, 93.314
450, 宣传片, 63.114
451, 看哭了, 182.74
452, 他那么努力，为什么还生活的那么苦！, 237.922
453, 敬二舅, 59.738
454, 敬二舅, 9.548
455, 敬二舅, 200.494
456, 敬二舅, 15.459
457, 经二舅, 23.305
458, 贴牌早期？, 212.187
459, 敬二舅, 22.782
460, 敬二舅, 20.939
461, OK, 211.931
462, OK，很OK, 206.383
463, 敬二舅, 16.939
464, 致敬二舅, 16.379
465, 国家应该给这样的普通百姓一定的低保补贴，过上稍微安详的生活, 71.867
466, 敬二舅, 30.068
467, 敬二舅, 329.025
468, 敬二舅, 33.787
469, 二舅因为自媒体视频火了，又是魔幻的一段旅程, 36.399
470, 敬二舅, 18.459
471, 敬二舅, 4.743
472, 啊, 59.227
473, 敬二舅, 44.737
474, 敬二舅, 11.658
475, 加油, 6.921
476, 被迫营业, 19.954
477, 敬二舅, 27.172
478, 二刷, 6.524
479, 四针扎没了一个天才少年, 31.581
480, 敬二舅, 62.566
481, 好, 4.15
